unique_article_id,article_text,domain,resolved_url,article_author,article_date,article_id,duplicate_group,twitter,twitter_id,tweet_url,tweet_date,retweet_count,reply_count,like_count,quote_count,impression_count,LAD,main_LAD,owner
demo-001,"Local families in Manchester say rising rent, energy bills and grocery costs are putting pressure on household budgets this winter. Councillors reported growing demand for debt advice and emergency support.",demo.local,https://demo.local/manchester/rents-energy,Analyst Desk,2022-11-14T08:00:00Z,article-demo-001,story-demo-costs-001,demo_local,1001,https://twitter.com/demo/status/1001,2022-11-14T08:10:00Z,4,1,12,0,500,Manchester,,Demo Media
demo-002,"A similar cost-of-living story was published for Salford, describing higher rents, more expensive food and pressure on household finances. Local advisers said borrowing and arrears had become more common.",demo.local,https://demo.local/salford/costs-borrowing,Analyst Desk,2022-11-14T09:00:00Z,article-demo-002,story-demo-costs-001,demo_local,1002,https://twitter.com/demo/status/1002,2022-11-14T09:05:00Z,3,1,10,0,450,Salford,,Demo Media
demo-003,"Employers in Birmingham reported labour shortages, wage pressure and slower hiring plans. Several manufacturers said higher payroll costs were affecting local investment decisions.",demo.local,https://demo.local/birmingham/wages-jobs,Analyst Desk,2022-10-03T07:30:00Z,article-demo-003,,demo_local,1003,https://twitter.com/demo/status/1003,2022-10-03T07:40:00Z,5,0,15,1,620,Birmingham,,Demo Media
demo-004,"Businesses in Leeds said weak consumer demand and higher financing costs were delaying expansion plans. Local firms described lower orders and more cautious investment activity.",demo.local,https://demo.local/leeds/business-demand,Analyst Desk,2022-09-19T10:15:00Z,article-demo-004,,demo_local,1004,https://twitter.com/demo/status/1004,2022-09-19T10:25:00Z,2,0,9,0,340,Leeds,,Demo Media
demo-005,"Mortgage brokers in Cardiff reported weaker affordability, rising monthly repayments and fewer first-time buyers. Local agents also noted pressure on rents and construction costs.",demo.local,https://demo.local/cardiff/mortgages-rents,Analyst Desk,2022-12-05T11:00:00Z,article-demo-005,,demo_local,1005,https://twitter.com/demo/status/1005,2022-12-05T11:05:00Z,6,2,18,1,760,Cardiff,,Demo Media
demo-006,"A football club in Bristol celebrated a late cup victory after a dramatic penalty shootout. Supporters praised the goalkeeper and the manager described the result as a turning point in the season.",demo.local,https://demo.local/bristol/sport-cup-win,Analyst Desk,2022-11-21T18:30:00Z,article-demo-006,,demo_local,1006,https://twitter.com/demo/status/1006,2022-11-21T18:35:00Z,8,3,21,0,900,Bristol,,Demo Media
demo-007,"Police in Liverpool investigated a late-night burglary and asked residents to share information. Officers said the case remained open and no economic issues were involved in the report.",demo.local,https://demo.local/liverpool/police-burglary,Analyst Desk,2022-08-08T06:40:00Z,article-demo-007,,demo_local,1007,https://twitter.com/demo/status/1007,2022-08-08T06:45:00Z,1,0,6,0,220,Liverpool,,Demo Media
demo-008,"Households in Leicester said food prices and utility bills were forcing cuts in spending and savings. Local charities reported more requests for financial support and debt advice.",demo.local,https://demo.local/leicester/spending-savings,Analyst Desk,2022-11-07T09:20:00Z,article-demo-008,,demo_local,1008,https://twitter.com/demo/status/1008,2022-11-07T09:25:00Z,3,1,11,0,410,Leicester,,Demo Media
demo-009,"A theatre review in Glasgow praised a new production for its staging and performances. The article focused on direction, music and audience reaction rather than economic conditions.",demo.local,https://demo.local/glasgow/theatre-review,Analyst Desk,2022-10-10T20:00:00Z,article-demo-009,,demo_local,1009,https://twitter.com/demo/status/1009,2022-10-10T20:05:00Z,2,0,8,0,300,Glasgow City,,Demo Media
demo-010,"Northumberland households said higher heating costs and food prices were weakening purchasing power. Local businesses also reported lower demand and growing concern about winter spending.",demo.local,https://demo.local/northumberland/heating-food-demand,Analyst Desk,2022-12-12T07:50:00Z,article-demo-010,,demo_local,1010,https://twitter.com/demo/status/1010,2022-12-12T07:55:00Z,4,1,13,0,530,Northumberland,,Demo Media

